bvid,title,length,category,topic,season,created,play,status,video,text,url
BV1iA411R7ar,前方高能预警，一大波美轮美奂的彩宝即将来袭！,02:55,02_彩色宝石,02_彩色宝石,,1674039262,14152,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1iA411R7ar
BV1sR4y1e79H,珠宝人的年终客订总结，回顾22年我做过的那些神仙客订!!,02:39,【合集】客订开箱合集,05_金属首饰与佩戴,客订开箱合集,1673951967,19375,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】客订开箱合集,,https://www.bilibili.com/video/BV1sR4y1e79H
BV1iY411979h,一月生辰石，石榴石真的好看还不贵!!,02:32,【合集】生辰石,02_彩色宝石,生辰石,1673612539,35494,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】生辰石,,https://www.bilibili.com/video/BV1iY411979h
BV1MW4y137zy,珠宝行业分析报告 分享一些你不知道的事儿,03:39,08_行业与商业,08_行业与商业,,1673435743,28422,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/08_行业与商业,,https://www.bilibili.com/video/BV1MW4y137zy
BV1AR4y12772,新年必备款，红宝首饰给你满满的仪式感!,02:54,02_彩色宝石,02_彩色宝石,,1673349592,12562,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1AR4y12772
BV1BW4y1G7Ar,book思议! 快来欣赏8岁男孩的珠宝设计,02:50,05_金属首饰与佩戴,05_金属首饰与佩戴,,1673086659,30663,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1BW4y1G7Ar
BV1o8411N7v8,芬达石or桂榴石? 99%珠宝商都会弄混的宝石,02:35,02_彩色宝石,02_彩色宝石,,1672828779,20871,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1o8411N7v8
BV1bg411t7bW,结婚只能用钻戒?! 英国皇室第一个say NO!!,02:43,01_钻石,01_钻石,,1672484773,15406,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1bg411t7bW
BV1ve4y157Rk,8年增值4000万，是什么珠宝可以轻松跑赢房价？,02:33,07_行情与选购,07_行情与选购,,1672398065,14813,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/07_行情与选购,,https://www.bilibili.com/video/BV1ve4y157Rk
BV1644y1R7xS,蓝宝捡漏专场，错过今天再等一年!!!,02:35,02_彩色宝石,02_彩色宝石,,1672321041,18970,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1644y1R7xS
BV1aG4y1J7E4,1989年沙特皇室珠宝失窃，自此与泰国决裂33年,03:15,10_珠宝文化与故事,10_珠宝文化与故事,,1671711935,18710,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/10_珠宝文化与故事,,https://www.bilibili.com/video/BV1aG4y1J7E4
BV1Nd4y1e7WJ,钻石价格大跳水!真的吗?我不信!,01:36,01_钻石,01_钻石,,1671532460,19419,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1Nd4y1e7WJ
BV1TA411R7wj,"首饰界的遗珠,却是提升气质的宝藏!!",01:32,05_金属首饰与佩戴,05_金属首饰与佩戴,,1671456131,13051,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1TA411R7wj
BV1jG4y1g7ZT,港圈豪门阔太，一个坐拥价值百亿珠宝的女人!!,02:11,10_珠宝文化与故事,10_珠宝文化与故事,,1671190718,16052,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/10_珠宝文化与故事,,https://www.bilibili.com/video/BV1jG4y1g7ZT
BV1td4y1v786,明星都爱买什么珠宝?谁才是娱乐圈的珠宝大户?,01:52,07_行情与选购,07_行情与选购,,1671104631,16832,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/07_行情与选购,,https://www.bilibili.com/video/BV1td4y1v786
BV1o44y1o72r,让我看看是哪个男朋友还不会送圣诞节礼物?,01:48,05_金属首饰与佩戴,05_金属首饰与佩戴,,1671011734,22203,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1o44y1o72r
BV1AA41197KE,可以天天吃海参，但请别再吃金箔牛排!!!,01:33,11_其他,11_其他,,1670839881,8552,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/11_其他,,https://www.bilibili.com/video/BV1AA41197KE
BV19d4y1s7TV,省钱秘籍它来咯，教你花最少的钱买最”大”的钻!!,01:12,01_钻石,01_钻石,,1670583657,16048,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV19d4y1s7TV
BV1ov4y1R7P3,没有任何一个女人可以拒绝鸡尾酒戒，戴安娜王妃也不行,01:24,05_金属首饰与佩戴,05_金属首饰与佩戴,,1670497627,22164,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1ov4y1R7P3
BV19G4y1g7Z3,当珠宝与2023流行色华丽碰撞，最后一款简直不要太好看!!,03:04,05_金属首饰与佩戴,05_金属首饰与佩戴,,1670324061,20750,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV19G4y1g7Z3
BV1k841157nZ,蓝宝石万元内保姆级选购攻略 它来了！,02:46,【合集】彩宝选购合集,02_彩色宝石,彩宝选购合集,1670248245,116622,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】彩宝选购合集,,https://www.bilibili.com/video/BV1k841157nZ
BV1dv4y197vQ,年货珠宝篇｜你心仪的价位我都有！,02:54,07_行情与选购,07_行情与选购,,1670041780,14168,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/07_行情与选购,,https://www.bilibili.com/video/BV1dv4y197vQ
BV1Rd4y1x7WQ,女明星的拍卖会真的太开眼了！,02:38,08_行业与商业,08_行业与商业,,1669804382,26898,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/08_行业与商业,,https://www.bilibili.com/video/BV1Rd4y1x7WQ
BV1EP4y197J4,关之琳上亿珠宝拍卖会，海螺珠惊艳亮相！,02:09,04_有机宝石,04_有机宝石,,1669640862,103291,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/04_有机宝石,,https://www.bilibili.com/video/BV1EP4y197J4
BV12P411u7Zs,橙色宝石预警，超适合暖冬的芬达石来袭！,02:24,02_彩色宝石,02_彩色宝石,,1669376499,23583,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV12P411u7Zs
BV1GP411u7zf,只有一万块的预算，教你买到最划算的珠宝,03:05,07_行情与选购,07_行情与选购,,1669295674,61469,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/07_行情与选购,,https://www.bilibili.com/video/BV1GP411u7zf
BV1724y1175L,有品位的男士戴什么珠宝？,03:30,05_金属首饰与佩戴,05_金属首饰与佩戴,,1669212000,21884,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1724y1175L
BV1nG4y1d7Zq,认识这颗宝石才算真的了解蓝宝石！,02:29,02_彩色宝石,02_彩色宝石,,1669039281,20060,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1nG4y1d7Zq
BV1NG4y147wT,什么样的切割能让祖母绿颜值增加价值翻倍？,03:24,02_彩色宝石,02_彩色宝石,,1668866400,16852,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1NG4y147wT
BV1AP41137RM,钻石有无荧光，光听实验室不得行！,01:54,01_钻石,01_钻石,,1668770066,38248,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1AP41137RM
BV1ZW4y1s7K1,客订分享第1期 | 有想法的珠宝设计才能满足客户的需求！,03:15,【合集】客订开箱合集,05_金属首饰与佩戴,客订开箱合集,1668595732,14734,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】客订开箱合集,,https://www.bilibili.com/video/BV1ZW4y1s7K1
